,t_cap,t_hh,xlong,ylat
273,2300.0,80.0,239.32001,45.66859
274,2300.0,80.0,239.33411,45.6671
275,2300.0,80.0,239.34841,45.63369
276,2300.0,80.0,239.33472,45.62589
277,2300.0,80.0,239.35162,45.65939
278,2300.0,80.0,239.38470999999998,45.62999
279,2300.0,80.0,239.37402,45.6335
280,2300.0,80.0,239.38312000000002,45.61869
281,2300.0,80.0,239.33791,45.61929
282,2300.0,80.0,239.34190999999998,45.6479
283,2300.0,80.0,239.35291,45.6638
284,2300.0,80.0,239.35381,45.66559
285,2300.0,80.0,239.41251,45.6261
286,2300.0,80.0,239.35101,45.65229
287,2300.0,80.0,239.38931,45.63369
288,2300.0,80.0,239.38540999999998,45.6401
289,2300.0,80.0,239.40341,45.6354
290,2300.0,80.0,239.35152,45.65579
291,2300.0,80.0,239.34792,45.6298
292,2300.0,80.0,239.38502,45.62479
293,2300.0,80.0,239.38271,45.61709
294,2300.0,80.0,239.36741999999998,45.61929
295,2300.0,80.0,239.36192,45.63409
296,2300.0,80.0,239.38502,45.6232
297,2300.0,80.0,239.37281000000002,45.6246
298,2300.0,80.0,239.35941,45.6228
299,2300.0,80.0,239.34481,45.64299
300,2300.0,80.0,239.38502,45.6266
301,2300.0,80.0,239.37360999999999,45.62909
302,2300.0,80.0,239.36021,45.62589
303,2300.0,80.0,239.46921,45.61589
304,2300.0,80.0,239.43520999999998,45.63699
305,2300.0,80.0,239.46701000000002,45.62399
306,2300.0,80.0,239.48862,45.63879
307,2300.0,80.0,239.46701000000002,45.62579
308,2300.0,80.0,239.47041000000002,45.6498
309,2300.0,80.0,239.47002,45.648
310,2300.0,80.0,239.42812,45.65899
311,2300.0,80.0,239.41971999999998,45.63479
312,2300.0,80.0,239.42221,45.64579
313,2300.0,80.0,239.43511,45.65249
314,2300.0,80.0,239.48910999999998,45.63509
315,2300.0,80.0,239.47002,45.61379
316,2300.0,80.0,239.45341000000002,45.62849
317,2300.0,80.0,239.42162000000002,45.64399
318,2300.0,80.0,239.42111,45.64219
319,2300.0,80.0,239.45081,45.64599
320,2300.0,80.0,239.42221,45.64759
321,2300.0,80.0,239.47092,45.6307
322,2300.0,80.0,239.46791000000002,45.62199
323,2300.0,80.0,239.43531000000002,45.63879
324,2300.0,80.0,239.47710999999998,45.63759
325,2300.0,80.0,239.41991000000002,45.63659
326,2300.0,80.0,239.41151000000002,45.62249
327,2300.0,80.0,239.46871,45.6284
328,2300.0,80.0,239.41111999999998,45.62079
329,2300.0,80.0,239.40051,45.6401
330,2300.0,80.0,239.46781,45.62009
331,2300.0,80.0,239.45161000000002,45.626
332,2300.0,80.0,239.43031000000002,45.6629
333,2300.0,80.0,239.47901000000002,45.64219
334,2300.0,80.0,239.48561,45.63059
335,2300.0,80.0,239.45191,45.6484
336,2300.0,80.0,239.46611000000001,45.6437
337,2300.0,80.0,239.46850999999998,45.6457
338,2300.0,80.0,239.48101,45.64459
339,2300.0,80.0,239.48392,45.6283
340,2300.0,80.0,239.45122,45.6442
341,2300.0,80.0,239.43652,45.64219
342,2300.0,80.0,239.42041999999998,45.64019
343,2300.0,80.0,239.39722,45.64409
344,2300.0,80.0,239.42921,45.6671
345,2300.0,80.0,239.47791,45.63989
346,2300.0,80.0,239.42201,45.65279
347,2300.0,80.0,239.46391,45.63979
348,2300.0,80.0,239.43680999999998,45.6457
349,2300.0,80.0,239.46011,45.63509
350,2300.0,80.0,239.47292,45.65369
351,2300.0,80.0,239.48291999999998,45.647
352,2300.0,80.0,239.45481,45.65039
353,2300.0,80.0,239.46841,45.6181
354,2300.0,80.0,239.42612,45.6569
355,2300.0,80.0,239.42391,45.65479
356,2300.0,80.0,239.47092,45.65159
357,2300.0,80.0,239.41582,45.63239
358,2300.0,80.0,239.42001,45.63839
359,2300.0,80.0,239.48852,45.6405
360,2300.0,80.0,239.48741,45.63279
361,2300.0,80.0,239.39791,45.64589
362,2300.0,80.0,239.43761,45.6554
363,2300.0,80.0,239.42221,45.6493
364,2300.0,80.0,239.45782,45.63289
365,2300.0,80.0,239.39731999999998,45.64769
366,2300.0,80.0,239.43041,45.6647
367,2300.0,80.0,239.46231,45.6373
368,2300.0,80.0,239.46391,45.64159
369,2300.0,80.0,239.45512,45.6521
